users_id,users_screen_name,users_location,users_followers_count,users_friends_count,users_verified,tweets_id,retweets_count,favorites_count,langs,tweets_full_text
963550804786536449,AlexandreSebbe1,"Farroupilha, Brasil",108,196,False,1390712329172566019,0,0,pt,"@leandro00207875 @bancointer @interinvest também tinha um desses, mas quando recebi o 🍊, eu destruí ele. 👍🏻👍🏻👍🏻"
1507183500,n00bona,"RS, Brasil",601,424,False,1390708819597086728,0,0,pt,@pubalel @nubank @bancointer kkkk putz elvis
103690284,luan_almada,,448,731,False,1390708639149826057,0,1,pt,estou desde as 10:00h da manhã e até agora nada. é impressionante. ajuda aí @bancointer. vou tentar a última vez!
258629296,niksjs,,279,675,False,1390708622670405635,0,0,pt,esse aplicativo do @bancointer tá uma porcaria...
1165280371686215680,BRomanoo,"São Paulo, Brasil",16,329,False,1390707057049878533,0,0,pt,@karoltenorio__ @bancointer como ganhou?
1507183500,n00bona,"RS, Brasil",601,424,False,1390706690564280320,0,2,pt,é aparentemente vou ter quemigrar pro @nubank já que o @bancointer não consegue resolver um problema simples de acesso a conta :)))))
1163539140992020481,Leandro00207875,"Belo Horizonte, Brasil",73,901,False,1390706562885431296,0,18,pt,"pessoal me perguntou se eu tenho banco inter?!  olha se essa foto responde se eu sou raiz ou nutella 😃 @bancointer, @interinvest https://t.co/bmqt82ojnu"
1296237546310172672,JandirSantos15,,54,341,False,1390706277165281282,0,1,pt,@bancointer internacionais anos 80🐷🐷🐷🐷🧡🧡
766215115121258496,AmandaKellyr_,Santana do Acaraú,92,342,False,1390705430712799233,0,0,pt,@raelonline_ @bancointer ai rael o acadêmico sofre ao tentar economizar viu kkkk
1328375336011239426,cassiotroici32, Brasil,15,280,False,1390705136209641482,0,0,pt,@bancointer @karoltenorio__ como faço para ter um?
3382485525,ricardoacrabelo,"Aracaju, Brasil",55,33,False,1390702128071598090,0,0,pt,@xandeviana @bancointer fiquei preocupado em aplicar no cdb ... lá afirma que o saque ocorre a qualquer momento. vendo esse teu relato fiquei preocupado. talvez fazer um teste com pouco dinheiro possa ser um caminho .
1356789806647418881,Jniorsilvva,"Rio de Janeiro, Brasil",2,64,False,1390701754539466762,0,0,pt,@bancointer meu banco 🧡
823924752964349952,lela_lobato,"Mesquita, Brasil",33,203,False,1390699967417888775,0,0,pt,@bancointer e quando vai ser isso? não posso esperar mais um dia.
1310343579173294081,carrijocom2r,Espírito Santo,59,174,False,1390697384238370820,0,1,pt,@bancointer o tanto de cashback que já ganhei kkskkk 🧡 https://t.co/vqighorah2
103690284,luan_almada,,448,731,False,1390697137818767362,0,1,pt,"não gosto de falar nada em desfavor dos empreendimentos do @rubensmenin, mas o @bancointer está de brincadeira hoje. estou há quase 3 horas tentando colocar uma conta pj para funcionar, mas está difícil. pior, estou escutando uma musiquinha do atendimento já tem umas horas."
1229448289298325505,galliacc,"Hogwarts, sala Corvinal",452,451,False,1390696923917660170,0,0,pt,"@bancointer troquei de celular, e estou tentando acessar minha conta, quando vou adicionar os dados, diz que está inválido, sendo que estão todos corretos"
176231689,lucarely2000,Brazil,62,54,False,1390693922314272774,0,1,pt,@bancointer obrigado
1005472099933319169,Mrcirilooficial,,29,353,False,1390693181147295749,0,0,pt,"@bancointer, oi uma sugestão, caso já não tenha eu mexi no app, e não vi em lugar nenhum os comprovantes de pagamento, apenas no internet banking seria uma boa colocar no app, as vezes precisamos encaminhar para alguém algum tempo depois, e ter que acessar o site é ultrapassado."
1157676271901581313,cafedexicara,any pronoun,139,381,False,1390688630985920514,0,0,pt,"@bhzera1 @bancointer não sei se é uma pergunta capiciosa, mas quanto eles te deram de limite?"
1356789806647418881,Jniorsilvva,"Rio de Janeiro, Brasil",2,64,False,1390688292883075072,0,2,pt,nenhum banco se compara ao meu @bancointer https://t.co/0zch9vx0oc
26385786,gpressutto5,"Curitiba, Brasil",104,163,False,1390687226032500746,0,0,pt,"@bancointer não é um grande problema, apenas irritante, mas toda vez que vou abrir o app pj no iphone eu pesquiso por ""inter"" e ele não aparece, aí lembro que tenho que pesquisar por ""empresa"". isso não faz muito sentido."
936395501657841664,otavio_tozzetti,,3,1,False,1390687016040402945,0,0,pt,@bancointer gostaria de saber quando vamos conseguir acessar a conta! impossível trabalhar com o banco inter ! onde já se viu não conseguir entrar na conta porque o aplicativo diz que o usuário não existe... talvez quando realmente não houver mais usuários vc´s se toquem ...
881954988758630409,BrunoVCNeves1,Belo Horizonte ,21,284,False,1390685672260972551,0,0,pt,"@ibacaninha @matheusgamaral0 @bancointer bom é bidi11.
vale 50b e lucar 80m"
1018273589425033216,JC_tuitou, 💍,421,405,False,1390685156420341764,0,1,pt,@bancointer obrigado ☺️🧡
573803812,KekoOtavio,"#Recifilis, Brasil",1284,1198,False,1390684329802670080,0,0,pt,"já imaginou ganhar dinheiro de volta em todas as suas compras e ainda aproveitar uma conta 100% digital e zero tarifas? no inter, você conta com essas e muitas outras vantagens. abra sua conta e simplifique sua vida ainda hoje: https://t.co/rjddbp73mc https://t.co/wj7ipkzkoj"
102213855,yuri_raya,Goiânia - Go/Brasil,1088,2088,False,1390684193886294017,0,0,pt,e não abateu da minha conta... e agora . paguei ou não paguei o boleto? https://t.co/t4m7ijnxu2 https://t.co/lm5xwg4m6z
4078948996,vargasbfr,Estádio Nilton Santos,2071,1991,False,1390684118195884033,0,0,pt,"@twitaluli @bancointer amg do céu, pula fora dessa cilada, vai pro nubank que vc ganha mais"
1365140207314628608,twitaluli,,405,290,False,1390683966097788936,0,0,pt,@vargasbfr @bancointer tô até hj esperando eles aprovarem o meu 😐
1284988116546224129,luvhabit,,24,60,False,1390683725235695626,0,0,pt,@bancointer será q da p me ajudar????????????????????????????????
1154940442875703297,raelonline_,Brasil,23,322,False,1390677914799288330,0,0,pt,"@amandakellyr_ @bancointer recebe o cashback por ter comprado o giftcard. entretanto, se o seu plano no spotify é o universitário (50% de desconto), o gift card não será válido. será contado como para o plano individual comum de 16,90"
316155751,RogerBennq,"Minas Gerais, Brasil",3386,2512,False,1390677505200336899,0,0,pt,@bancointer @ewan_silva que diferença faz? 😞
24262980,ivancarlos,"Sao Paulo, Brazil",3141,436,False,1390672504339959816,0,1,pt,"@nekocora @bancointer @paolabancointer ah sim, já sofri isso outras vezes também, eu fico enrolando e dando informação errada pelo máximo de tempo possível para finalizar com uma foto do vampeta pelado, pelo menos deixo esse povo ocupado sendo feito de idiota 🤣"
2185143909,danimacielx,"Armação dos Búzios, Brasil",1313,3555,False,1390672317035028480,0,0,pt,@bancointer o problema é que ela tá vazia 😔
2876574749,Vinifla0912,,852,1001,False,1390671692490543114,0,0,pt,"qual o melhor, @bancointer  ou @c6bank ?"
4874446131,Jorge_85brito,,8,72,False,1390670415073320961,0,0,pt,@bancointer eu quero também vou correr lá para ver melhor isso.
1223055665704460289,maelgoncalvesr,"Barão de Grajaú, Brasil",70,355,False,1390670304532484100,0,0,pt,"meu deus , há tempos que eu tento abrir a conta no @bancointer e á tempos que da errado trieteza."
1209078961181020160,R0oger38,,118,442,False,1390670212782034946,0,0,pt,"@bancointer olá, estou tentando investir no lci de 90 dias mas qdo coloco o valor o botão investir fica apagado, como resolver? aproveitando, estou com dificuldades p trocar de app, tinha o do spfc e baixei o bco inter mas diz que não tenho conta qdo tento acessar com minha conta"
254042716,Andrebrzil,Brésil,510,294,False,1390669232225013761,0,4,pt,"o que dizer deste banco 😍🧡, fiz uma compra em um site fraudulento, e o @bancointer não deixou eu sair no prejuízo 🙏🏼🥰 https://t.co/jaanw9utt8"
1220945147715780608,marceleemello,"Rio de Janeiro, Brasil",12,95,False,1390667948549976068,0,0,pt,"@bancointer opa, como faz pra receber ?"
766215115121258496,AmandaKellyr_,Santana do Acaraú,92,342,False,1390667471208779776,0,1,pt,@bancointer quem é universitário também recebe cashback? 🥺
824599876558344194,FilipeNovpa,"São Paulo, Brasil",14,178,False,1390667265369153541,0,0,pt,@bancointer no momento a música é “save your tears” -  the weeknd with ariana grande.
18984795,pa_alvarezcomz,Brasil,159,173,False,1390667222394224648,0,0,pt,@bancointer opa... poderia servir pra clientes antigos né?! hehehe
437431737,ejcdr_reis2011,"Guarulhos, Brasil",24,235,False,1390666636001222664,0,0,pt,"já imaginou ganhar dinheiro de volta em todas as suas compras e ainda aproveitar uma conta 100% digital e zero tarifas? no inter, você conta com essas e muitas outras vantagens. abra sua conta e simplifique sua vida ainda hoje: https://t.co/xrwo6hnlpr https://t.co/n2s7bqc6rv"
3234532213,MiDIMashup,Worldwide,160,395,False,1390666291682455556,0,0,pt,"@bancointer de que adianta vc indicar um consultor se nenhum deles responde aos emails?
já estou no segundo em pouco mais de um ano e é sempre a mesma coisa. :(
#fail"
47928779,AristotelesC,Brasil,161,548,False,1390665577639944197,0,1,pt,@interinvest @bancointer vai aparecer a subscrição do hctr11?
1080463116545200128,Caroline10Si,"Pernambuco, Brasil",52,196,False,1390663695320162306,0,1,pt,"@bancointer consegui sim, hoje de manhã. muito obrigada."
1157676271901581313,cafedexicara,any pronoun,139,381,False,1390662159928004610,0,0,pt,"@bhzera1 @bancointer oloco, se eles dessem eu ficaria mt feliz, eu gosto muito do app do inter

oq é home broken?"
179773115,mmatheusazevedo,"Campo Grande, Rio de Janeiro",4293,764,False,1390661114367725573,0,0,pt,@samguaja @bancointer sabe o número amigo?
135499062,cassiocmg,,262,92,False,1390660952564158473,0,0,pt,"@bancointer por favor... façam um tema noturno p app, hj precisei abrir de madrugada quase morri cego de tanto branco na cara"
3247952632,RBrassolatti,"São Paulo, Brasil",9,573,False,1390660854534844417,0,0,pt,@neli_pereira @bradesco vai para o @bancointer muito bom prático e descomplicado... tbem tinha conta no @bradesco e a dois anos migrei e é outra vida... o bradesco cobrava até para respirar se entrasse na agência... o inter é tudo free... recomendo.
